"Player","Position","Team","Order"
"VincentJackson","WR","SD",12
"HakeemNicks","WR","NYG",13
"FrankGore","RB","SF",14
"MauriceJones-Drew","RB","JAC",15
"LarryFitzgerald","WR","ARI",16
"RoddyWhite","WR","ATL",17
"DarrenMcFadden","RB","OAK",18
"CalvinJohnson","WR","DET",19
"AaronRodgers","QB","GB",20
"GregJennings","WR","GB",21
"DeSeanJackson","WR","PHI",22
"MattForte","RB","CHI",23
"MikeWallace","WR","PIT",24
"AntonioGates","TE","SD",25
"ShonnGreene","RB","NYJ",26
"AhmadBradshaw","RB","NYG",27
"PhilipRivers","QB","SD",28
"LeGarretteBlount","RB","TB",29
"FelixJones","RB","DAL",30
"BrandonMarshall","WR","MIA",31
"JasonWitten","TE","DAL",32
"JahvidBest","RB","DET",33
"DwayneBowe","WR","KC",34
"DrewBrees","QB","NO",35
"ReggieWayne","WR","IND",36
"TomBrady","QB","NE",37
"JermichaelFinley","TE","GB",38
"PeytonHillis","RB","CLE",39
"MilesAustin","WR","DAL",40
"DallasClark","TE","IND",41
"KnowshonMoreno","RB","DEN",42
"TonyRomo","QB","DAL",43
"PeytonManning","QB","IND",44
"DezBryant","WR","DAL",45
"VernonDavis","TE","SF",46
"MikeWilliams","WR","TB",47
"WesWelker","WR","NE",48
"MarkIngram","RB","NO",49
"BrandonLloyd","WR","DEN",50
"MattSchaub","QB","HOU",51
"BeanieWells","RB","ARI",52
"ChadOchocinco","WR","NE",53
"RyanGrant","RB","GB",54
"AnquanBoldin","WR","BAL",55
"MattRyan","QB","ATL",56
"DeAngeloWilliams","RB","CAR",57
"SteveJohnson","WR","BUF",58
"MarquesColston","WR","NO",59
"RyanMathews","RB","SD",60
"BenJarvusGreen-Ellis","RB","NE",61
"SantonioHolmes","WR","NYJ",62
"JeremyMaclin","WR","PHI",63
"MarioManningham","WR","NYG",64
"PercyHarvin","WR","MIN",65
"CedricBenson","RB","CIN",66
"JimmyGraham","TE","NO",67
"MarshawnLynch","RB","SEA",68
"DanielThomas","RB","MIA",69
"OwenDaniels","TE","HOU",70
"SteveSmith","WR","CAR",71
"ReggieBush","RB","MIA",72
"MarcedesLewis","TE","JAC",73
"TonyGonzalez","TE","ATL",74
"JulioJones","WR","ATL",75
"PlaxicoBurress","WR","NYJ",76
"MalcomFloyd","WR","SD",77
"KennyBritt","WR","TEN",78
"JosephAddai","RB","IND",79
"AustinCollie","WR","IND",80
"FredJackson","RB","BUF",81
"BenRoethlisberger","QB","PIT",82
"PittsburghDefenseD","EF","PIT",83
"MikeTolbert","RB","SD",84
"TimHightower","RB","WAS",85
"GreenBayDefenseD","EF","GB",86
"NYJetsDefenseD","EF","NYJ",87
"HinesWard","WR","PIT",88
"MatthewStafford","QB","DET",89
"PhiladelphiaDefenseD","EF","PHI",90
"SantanaMoss","WR","WAS",91
"BrandonJacobs","RB","NYG",92
"JohnnyKnox","WR","CHI",93
"SidneyRice","WR","SEA",94
"LaDainianTomlinson","RB","NYJ",95
"JonathanStewart","RB","CAR",96
"PierreGarcon","WR","IND",97
"PierreThomas","RB","NO",98
"SamBradford","QB","STL",99
"MikeSims-Walker","WR","STL",100
"JoshFreeman","QB","TB",101
"C.J.Spiller","RB","BUF",102
"RoyHelu","RB","WAS",103
"NewEnglandDefenseD","EF","NE",104
"BaltimoreDefenseD","EF","BAL",105
"LanceMoore","WR","NO",106
"JamesStarks","RB","GB",107
"KevinKolb","QB","ARI",108
"RobGronkowski","TE","NE",109
"RyanTorain","RB","WAS",110
"NewOrleansDefenseD","EF","NO",111
"LeeEvans","WR","BAL",112
"MikeThomas","WR","JAC",113
"BraylonEdwards","WR","SF",114
"EliManning","QB","NYG",115
"JordyNelson","WR","GB",116
"MichaelCrabtree","WR","SF",117
"A.J.Green","WR","CIN",118
"DannyAmendola","WR","STL",119
"JoeFlacco","QB","BAL",120
"JacobyFord","WR","OAK",121
"RoyWilliams","WR","CHI",122
"KyleOrton","QB","DEN",123
"ZachMiller","TE","SEA",124
"NateBurleson","WR","DET",125
"MattCassel","QB","KC",126
"MichaelBush","RB","OAK",127
"ChicagoDefenseD","EF","CHI",128
"DonaldDriver","WR","GB",129
"DeionBranch","WR","NE",130
"SteveSmith","WR","PHI",131
"WillisMcGahee","RB","DEN",132
"EmmanuelSanders","WR","PIT",133
"DonovanMcNabb","QB","MIN",134
"GregLittle","WR","CLE",135
"SteveBreaston","WR","KC",136
"JayCutler","QB","CHI",137
"KellenWinslow","TE","TB",138
"SanDiegoDefenseD","EF","SD",139
"ThomasJones","RB","KC",140
"DarrenSproles","RB","NO",141
"DetroitDefenseD","EF","DET",142
"DannyWoodhead","RB","NE",143
"MikeWilliams","WR","SEA",144
"BrentCelek","TE","PHI",145
"MontarioHardesty","RB","CLE",146
"RobertMeachem","WR","NO",147
"RonnieBrown","RB","PHI",148
"MasonCrosby","PK","GB",149
"BrandonPettigrew","TE","DET",150
"AdrianPeterson","RB","MIN",1
"ArianFoster","RB","HOU",2
